"","Department Family","Entity","Date","Expense Type","Expense Area","Supplier","Transaction Number","Amount","Description"
"1","NS&I","NS&I",2014-02-26,"ATOS Contract Costs","Partnerships & Contracts","Atos IT Services UK Ltd",252407,5448814.11,"Unitary Fee - January 2014"
"2","NS&I","NS&I",2014-02-05,"ATOS Maintenance and Running costs","Partnerships & Contracts","Atos IT Services UK Ltd",252405,736564,"Growth Strategic Commercial - January 2014"
"3","NS&I","NS&I",2014-02-19,"ATOS Project Costs","Projects","Atos IT Services UK Ltd",252294,7e+05,"Retail Programme Payment Plan 2013 - January 2014"
"4","NS&I","NS&I",2014-02-26,"Business to business - ATOS Costs","ELPS","Atos IT Services UK Ltd",252551,686571,"Equitable Life Payments Operations Charges December 2013"
"5","NS&I","NS&I",2014-02-05,"Business to business - ATOS Costs","ELPS","Atos IT Services UK Ltd",252336,673693,"Equitable Life Payments Scheme November 2013"
"6","NS&I","NS&I",2014-02-05,"ATOS Maintenance and Running costs","Partnerships & Contracts","Atos IT Services UK Ltd",252406,503625,"Growth Fixed Fee - January 2014"
"7","NS&I","NS&I",2014-02-05,"ATOS Maintenance and Running costs","Partnerships & Contracts","Atos IT Services UK Ltd",252286,449064.18,"Infrastructure Strategy Programme Payment Plan - January 2014"
"8","NS&I","NS&I",2014-02-26,"Business to business - ATOS Costs","HOPP","Atos IT Services UK Ltd",252430,183713,"Home Office Payment Process Service - December 2013"
"9","NS&I","NS&I",2014-02-14,"Professional  Services -Other","Projects","Carillion PLC",252290,146842.8,"PAM Durham New Building Project"
"10","NS&I","NS&I",2014-02-05,"ATOS Maintenance and Running costs","Telephony Internet","Atos IT Services UK Ltd",252408,90249,"Vodafone Charges - December 2013"
"11","NS&I","NS&I",2014-02-26,"Business to business - ATOS Costs","HOPP","Atos IT Services UK Ltd",252472,81317,"Home Office Payment Process - Project December 2013"
"12","NS&I","NS&I",2014-02-03,"Business to business - ATOS Costs","HOPP","Atos IT Services UK Ltd",252395,78954,"Transition & Transformation Project November 2013"
"13","NS&I","NS&I",2014-02-26,"ATOS Maintenance and Running costs","Telephony Internet","Atos IT Services UK Ltd",252663,75861,"Website Support And Maintenance - December 2013"
"14","NS&I","NS&I",2014-02-14,"Internal Audit - Fees","Risk & Compliance","KPMG LLP (UK)",252497,68344.34,"Internal Audit Services Fieldwork 1- 31st  December 2013"
"15","NS&I","NS&I",2014-02-05,"ATOS Maintenance and Running costs","Partnerships & Contracts","Atos IT Services UK Ltd",252369,58619,"Evidence of Identity Operations December 2013"
"16","NS&I","NS&I",2014-02-03,"ATOS Maintenance and Running costs","IS Assurance","Atos IT Services UK Ltd",252393,50500,"TIBCO Maintenance  Renewal  August 2013"
"17","NS&I","NS&I",2014-02-03,"ATOS Maintenance and Running costs","Partnerships & Contracts","Atos IT Services UK Ltd",252381,46894,"Tracing Service - November 2013"
"18","NS&I","NS&I",2014-02-26,"ATOS Project Costs","Risk & Compliance","Atos IT Services UK Ltd",252547,46839,"Bank Account Verification April - December  2013"
"19","NS&I","NS&I",2014-02-19,"Direct Marketing","Marketing Communications","Royal Mail Group Ltd",252538,42853.15,"Premium Bond Prize-winner Registration Mailings"
"20","NS&I","NS&I",2014-02-05,"ATOS Maintenance and Running costs","Telephony Internet","Atos IT Services UK Ltd",252331,39603.36,"Freephone Call Charges - December 2013"
"21","NS&I","NS&I",2014-02-28,"Market Research","Strategy","Yougov Plc",252714,39600,"National Savings And Investments Brand Index 2014-2015 Subscription"
"22","NS&I","NS&I",2014-02-26,"Business to business - ATOS Costs","CFO","Atos IT Services UK Ltd",252610,39383,"Business To Business Court Funds Office Request For Change Costs"
"23","NS&I","NS&I",2014-02-28,"ATOS Maintenance and Running costs","Vodafone Charge","Atos IT Services UK Ltd",252617,35542,"Vodafone Charges January 2014"
"24","NS&I","NS&I",2014-02-14,"Direct Marketing","Marketing Communications","Royal Mail Group Ltd",252320,34816.94,"Premium Bond High Value Holding Registration Mailing"
"25","NS&I","NS&I",2014-02-14,"Business Intelligence & Analysis","Business Insight","Call Credit Marketing",252283,31500,"Data Cleansing January  - March 2014 - Quarterly Fee"
"26","NS&I","NS&I",2014-02-26,"Direct Marketing","Marketing Communications","Kitcatt Nohr Digitas",252559,30943.78,"Premium Bond Max Holder Registration Mailings"
"27","NS&I","NS&I",2014-02-26,"ATOS Maintenance and Running costs","Partnerships & Contracts","Atos IT Services UK Ltd",252436,28921,"Tracing Service - December 2013"
"28","NS&I","NS&I",2014-02-26,"Direct Marketing","Marketing Communications","Royal Mail Group Ltd",252389,27815.38,"Go Paperless Mailing"
"29","NS&I","NS&I",2014-02-26,"ATOS Maintenance and Running costs","Partnerships & Contracts","Atos IT Services UK Ltd",252434,27794,"Inclusion of Premium Bonds Inserts"
"30","NS&I","NS&I",2014-02-28,"ATOS Maintenance and Running costs","Telephony Internet","Atos IT Services UK Ltd",252683,26066.63,"Freephone Call Charges - January 2014"
"31","NS&I","NS&I",2014-02-26,"ATOS Maintenance and Running costs","IS Assurance","Atos IT Services UK Ltd",252435,25749,"Professional Service Resources December 2013"
